,lien,Energie,Kilométrage,Puissance,Année,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix,EUR,USD
110,www.affare.tn,Essence,110000.0,5.0,2018.0,1.0,hiver,Manuelle,Sousse, polo,Volkswagen,Berline,39.0,12.050805,13.133094
111,www.affare.tn,Essence,153000.0,5.0,2014.0,1.0,hiver,Manuelle,Ariana, golf,Volkswagen,Berline,53000.0,16376.735,17847.538
112,www.affare.tn,Essence,80000.0,4.0,2017.0,1.0,hiver,Manuelle,Sousse, c3,Citroen,Berline,45000.0,13904.775000000001,15153.57
113,www.affare.tn,Diesel,220000.0,10.0,2010.0,1.0,hiver,Manuelle,Tunis, kia,Kia,Berline,52000.0,16067.740000000002,17510.792
114,www.affare.tn,Essence,150000.0,5.0,2011.0,1.0,hiver,Manuelle,Tunis, peugeot,Peugeot,Berline,26000.0,8033.870000000001,8755.396
115,www.affare.tn,Essence,40.0,4.0,2018.0,1.0,hiver,Manuelle,Sousse, %D8%B3%D9%8A%D8%A7%D8%B1%D8%A9,Volkswagen,Berline,36000.0,11123.820000000002,12122.856
116,www.affare.tn,Essence,150000.0,4.0,2016.0,1.0,hiver,Manuelle,Ariana, polo7,Volkswagen,Berline,32000.0,9887.84,10775.872
117,www.affare.tn,Essence,114000.0,6.0,2016.0,1.0,hiver,Manuelle,Tunis, mazda2,Mazda,Berline,37500.0,11587.3125,12627.975
118,www.affare.tn,Essence,166000.0,4.0,2005.0,1.0,hiver,Manuelle,Sfax, fiat,Fiat,Berline,13000.0,4016.9350000000004,4377.698
119,www.affare.tn,Essence,67.0,4.0,2017.0,1.0,hiver,Manuelle,Jendouba, voiture,Volkswagen,Berline,39500.0,12205.302500000002,13301.466999999999
120,www.affare.tn,Essence,4819.0,5.0,2013.0,1.0,hiver,Manuelle,Ariana, chevrolet,Chevrolet,Berline,23000.0,7106.885,7745.157999999999
121,www.affare.tn,Essence,130000.0,8.0,2017.0,1.0,hiver,Manuelle,Tunis, jeep,Jeep,Berline,68000.0,21011.66,22898.728
122,www.affare.tn,Essence,20000.0,10.0,2020.0,1.0,hiver,Automatique,Gafsa, c5,Citroen,Berline,120.0,37.0794,40.40952
123,www.affare.tn,Diesel,170000.0,5.0,2013.0,1.0,hiver,Manuelle,Ben arous, av,Volkswagen,Berline,36000.0,11123.820000000002,12122.856
124,www.affare.tn,Essence,80000.0,6.0,2017.0,1.0,hiver,Manuelle,Tunis, seat,Seat,Berline,49000.0,15140.755000000001,16500.554
125,www.affare.tn,Essence,130000.0,5.0,2014.0,1.0,hiver,Manuelle,Tunis, volkswagen,Volkswagen,Berline,49000.0,15140.755000000001,16500.554
126,www.affare.tn,Essence,140000.0,7.0,2016.0,1.0,hiver,Manuelle,Tunis, volkswagen,Volkswagen,Berline,63000.0,19466.685,21214.998
127,www.affare.tn,Essence,200000.0,7.0,2017.0,1.0,hiver,Manuelle,Tunis, volkswagen,Volkswagen,Berline,59000.0,18230.705,19868.014
128,www.affare.tn,Essence,200000.0,7.0,2014.0,1.0,hiver,Manuelle,Tunis, volkswagen,Volkswagen,Berline,49000.0,15140.755000000001,16500.554
129,www.affare.tn,Essence,180000.0,7.0,2014.0,1.0,hiver,Automatique,Tunis, audi,Audi,Berline,55000.0,16994.725000000002,18521.03
130,www.affare.tn,Essence,21000.0,4.0,2017.0,1.0,hiver,Manuelle,Manouba, toyota,Toyota,Berline,41000.0,12668.795,13806.586
131,www.affare.tn,Essence,120000.0,7.0,2015.0,1.0,hiver,Automatique,Tunis, bmw,BMW,Berline,70000.0,21629.65,23572.219999999998
132,www.affare.tn,Diesel,174000.0,5.0,2017.0,1.0,hiver,Manuelle,Tunis, vente,Volkswagen,Berline,25000.0,7724.875000000001,8418.65
133,www.affare.tn,Essence,244.0,5.0,2004.0,1.0,hiver,Manuelle,Ariana, voiture,Volkswagen,Berline,10800.0,3337.146,3636.8568
134,www.affare.tn,Essence,160000.0,4.0,2002.0,1.0,hiver,Manuelle,Tunis, voiture,Volkswagen,Berline,14.0,4.3259300000000005,4.714444
135,www.affare.tn,Essence,201.65,5.0,2012.0,1.0,hiver,Manuelle,Tunis, ford,Ford,Berline,24.0,7.4158800000000005,8.081904
136,www.affare.tn,Essence,80000.0,7.0,2018.0,1.0,hiver,Manuelle,Ariana, voiture,Volkswagen,Berline,62.0,19.157690000000002,20.878252
137,www.affare.tn,Diesel,345000.0,7.0,2003.0,1.0,hiver,Manuelle,Manouba, peugeot,Peugeot,Berline,14000.0,4325.93,4714.4439999999995
138,www.affare.tn,Essence,138000.0,4.0,2010.0,1.0,hiver,Manuelle,Sfax, chevrolet,Chevrolet,Berline,19300.0,5963.6035,6499.1978
139,www.affare.tn,Essence,226000.0,5.0,2001.0,1.0,hiver,Manuelle,Sousse, fiat,Fiat,Berline,13500.0,4171.4325,4546.071
140,www.affare.tn,Essence,98000.0,5.0,2016.0,1.0,hiver,Manuelle,Ariana, audi,Audi,Berline,51000.0,15758.745,17174.046
141,www.affare.tn,Diesel,279000.0,7.0,2008.0,1.0,hiver,Manuelle,Sfax, ford,Ford,Berline,8000.0,2471.96,2693.968
142,www.affare.tn,Essence,129000.0,6.0,2015.0,1.0,hiver,Automatique,Ariana, elegante,Volkswagen,Berline,48000.0,14831.76,16163.807999999999
143,www.affare.tn,Essence,142000.0,5.0,2013.0,1.0,hiver,Manuelle,Ariana, citro%C3%ABn,Citroen,Berline,21000.0,6488.895,7071.666
144,www.affare.tn,Essence,164000.0,5.0,2013.0,1.0,hiver,Manuelle,Ariana, polo,Volkswagen,Berline,28000.0,8651.86,9428.887999999999
145,www.affare.tn,Essence,90000.0,5.0,2015.0,1.0,hiver,Manuelle,Ariana, 308,Peugeot,Berline,40000.0,12359.800000000001,13469.84
