,lien,Energie,Kilométrage,Puissance,Mise en circulation,Année,Date Annonce,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix
796,www.affare.tn,Essence,173000,4.0,2010-02-03,2010.0,09/03/21,9.0,automne,Manuelle,Sidi Bouzid, ford,Ford,,23000.0
797,www.affare.tn,Essence,88000,5.0,2021-09-03,2017.0,09/03/21,9.0,automne,Manuelle,Mahdia, hyundai,Hyundai,,38000.0
798,www.affare.tn,Essence,88000,7.0,2009-10-01,2009.0,09/03/21,9.0,automne,Manuelle,Tunis, bmw,BMW,,48000.0
799,www.affare.tn,Essence,0,6000.0,2021-09-03,1982.0,09/03/21,9.0,automne,Manuelle,Manouba, voiture,,,6000.0
800,www.affare.tn,Essence,97000,5.0,2017-06-01,2017.0,09/03/21,9.0,automne,Manuelle,Ariana, clio,Renault,,33000.0
801,www.affare.tn,Essence,17000,4.0,2019-08-15,2019.0,09/03/21,9.0,automne,Manuelle,Monastir, tres,,,39500.0
802,www.affare.tn,Essence,207000,4.0,2021-09-02,2002.0,09/02/21,9.0,automne,Manuelle,Sousse, polo5,Volkswagen,,16000.0
803,www.affare.tn,Diesel,200000,8.0,2000-11-15,2000.0,09/02/21,9.0,automne,Manuelle,Nabeul, citroen,Citroen,,12500.0
804,www.affare.tn,Essence,0,7.0,1985-12-07,2017.0,09/02/21,9.0,automne,Manuelle,Sousse, voiture,,,6000.0
805,www.affare.tn,Essence,235,4.0,2021-09-02,1998.0,,,,Manuelle,Kef, peugeot,Peugeot,,
806,www.affare.tn,Essence,154000,5.0,2021-09-02,2008.0,09/02/21,9.0,automne,Manuelle,Ben arous, voiture,,,21000.0
807,www.affare.tn,Essence,85000,5.0,2014-07-10,2014.0,09/02/21,9.0,automne,Manuelle,Kairouan, ford,Ford,,21300.0
808,www.affare.tn,Essence,116000,5.0,1998-06-05,1998.0,09/02/21,9.0,automne,Manuelle,Jendouba, polo,Volkswagen,,12500.0
809,www.affare.tn,Essence,85000,,2014-08-14,2014.0,09/02/21,9.0,automne,Manuelle,Kairouan, ford,Ford,,21300.0
810,www.affare.tn,Essence,138,6.0,2021-08-28,2016.0,09/02/21,9.0,automne,Manuelle,Tunis, nissan,Nissan,,33.0
811,www.affare.tn,Diesel,385140,10.0,2011-04-29,2011.0,09/01/21,9.0,automne,Manuelle,Manouba, mitsubishi,Mitsubishi,,27000.0
812,www.affare.tn,Diesel,77000,,2021-09-01,2017.0,09/01/21,9.0,automne,Manuelle,Tunis, a,,,71000.0
813,www.affare.tn,Essence,207000,4.0,2021-09-01,2002.0,09/01/21,9.0,automne,Manuelle,Sousse, polo5,Volkswagen,,16000.0
814,www.affare.tn,Essence,92000,6.0,2021-06-02,2016.0,09/01/21,9.0,automne,Manuelle,Tunis, ford,Ford,,41000.0
815,www.affare.tn,Essence,333,4.0,1998-09-04,1998.0,09/01/21,9.0,automne,Manuelle,Ben arous, voiture,,,12.0
816,www.affare.tn,Essence,,,,1980.0,,,,,, foed,,,
817,www.affare.tn,Essence,207000,,2021-09-01,2002.0,09/01/21,9.0,automne,Manuelle,Sousse, polo,Volkswagen,,16000.0
818,www.affare.tn,Essence,154,5.0,2021-09-01,2008.0,09/01/21,9.0,automne,Manuelle,Ben arous, voiture,,,21.0
819,www.affare.tn,Diesel,397000,5.0,2005-08-03,2005.0,09/01/21,9.0,automne,Manuelle,Nabeul, 307,Peugeot,,15000.0
820,www.affare.tn,Essence,,,,4.0,,,,,, fiat,Fiat,,
821,www.affare.tn,Essence,206000,,,2007.0,,,,,, c3,Citroen,,
822,www.affare.tn,Essence,48000,5.0,2016-03-23,2016.0,31/08/21,8.0,ete,Manuelle,Manouba, a,,,33500.0
823,www.affare.tn,Essence,420000,4.0,1995-10-24,1995.0,31/08/21,8.0,ete,Manuelle,Manouba, a,,,11500.0
824,www.affare.tn,Essence,82000,4.0,2017-12-29,2017.0,31/08/21,8.0,ete,Manuelle,Ariana, citroen,Citroen,,39000.0
825,www.affare.tn,Essence,320,5.0,2000-08-31,2000.0,31/08/21,8.0,ete,Manuelle,Ben arous, ford,Ford,,7800.0
826,www.affare.tn,Essence,106000,4.0,2006-09-06,2006.0,31/08/21,8.0,ete,Manuelle,Sousse, vente,,,18000.0
827,www.affare.tn,Diesel,216000,,,2002.0,,,,,, bmw,BMW,,
828,www.affare.tn,Diesel,680,17.0,2021-08-31,2007.0,,,,Manuelle,Sousse, toyota,Toyota,,
829,www.affare.tn,Essence,200,5.0,2021-08-30,2001.0,31/08/21,8.0,ete,Manuelle,Gabes, %D8%B3%D9%8A%D8%A7%D8%B1%D8%A9,,,12500.0
830,www.affare.tn,Diesel,380000,,2012-09-06,2012.0,30/08/21,8.0,ete,Manuelle,Bizerte, peugeot,Peugeot,,22000.0
831,www.affare.tn,Essence,320000,5.0,2021-08-30,1992.0,30/08/21,8.0,ete,Manuelle,Sfax, opel,Opel,,1.0
832,www.affare.tn,Essence,127500,5.0,2015-01-19,2015.0,30/08/21,8.0,ete,Manuelle,Tunis, a,,,30500.0
833,www.affare.tn,Essence,168000,4.0,2005-01-12,2005.0,30/08/21,8.0,ete,Manuelle,Ariana, vente,,,17000.0
834,www.affare.tn,Essence,193000,5.0,2021-08-30,2007.0,30/08/21,8.0,ete,Manuelle,Tunis, chevrolet,Chevrolet,,16000.0
835,www.affare.tn,Essence,280000,5.0,2000-07-11,2000.0,30/08/21,8.0,ete,Manuelle,Manouba, peugeot,Peugeot,,8700.0
836,www.affare.tn,Essence,122,5.0,Boîte 6,2008.0,30/08/21,8.0,ete,,Ariana, belle,,,29000.0
837,www.affare.tn,Essence,189000,1.0,2021-08-29,2010.0,29/08/21,8.0,ete,Manuelle,Tunis, non,,,16500000.0
838,www.affare.tn,Essence,000,,1997-08-29,1997.0,29/08/21,8.0,ete,Manuelle,Ben arous, polo,Volkswagen,,11400.0
